song_rank,song_id,song_name,artist_name,main_genre,total_year_end_score
1,62yJjFtgkhUrXktIoSjgP2,Radioactive,"Imagine Dragons","Rock",10623
2,1EzrEOXmMH3G43AXT1y7pA,"I'm Yours","Jason Mraz","Pop",9256
3,7BD50ATrF3Vab5FQy7vtK8,"How Do I Live","LeAnn Rimes","Country & Folk",8972
4,2tpWsVSb9UEmDRxAl1zhX1,"Counting Stars",OneRepublic,"Pop",8563
5,1CkvWZme3pRgbzaxZnTl5X,"Rolling in the Deep",Adele,"Blues & Soul",8163
6,5xhQChGGhKLWqBqX4XhtYE,Sail,AWOLNATION,"Rock",7928
7,7qiZfU4dY1lWllzX7mPBI3,"Shape of You","Ed Sheeran","Pop",7670
8,0ZUo4YjG4saFnEJhdWp9Bt,"Before He Cheats","Carrie Underwood","Country & Folk",7471
9,0815caqt2Lytro5EIzMufT,"You And Me",Lifehouse,"Rock",7345
10,43SYrak1BFNzVGvFPDC5cS,"Smooth (As Made Famous By Santana Featuring Rob Thomas)","The Karaoke Crew","Other",7231
11,4kLLWz7srcuLKA7Et40PQR,"I Gotta Feeling","The Black Eyed Peas","Hip Hop",7193
12,7GAaTpSoTWUTbP2Yxlt4Hd,"Need You Now","Lady Antebellum","Country & Folk",7151
13,0tgVpDi06FyKpA1z0VMD4v,Perfect,"Ed Sheeran","Pop",7064
14,1K3LRUEcUz5FMtPYyg0F45,"Ho Hey","The Lumineers","Pop",7021
15,34gCuhDGsG4bRPIf9bb02f,"Thinking out Loud","Ed Sheeran","Pop",6949
16,2GhA8OAODRkEMUq8RYgCeF,"Macarena (Bayside Boys Mix) - (Tribute to Los Del Rio)","Studio Allstars","Other",6713
17,7zu3Xuz7D8OTilEr2oHKdL,"I Don't Want to Wait","Paula Cole","Avant-Garde & Experimental",6608
18,3U4isOIWM3VvDubwSI3y7a,"All of Me","John Legend","R&B & Funk",6586
19,1Lm8SfYEBmj1J8GdNUaGEI,"CANâ€™T STOP THE FEELING!","Rockabye Baby!","Children's",6578
20,5IFCyWplye09HytIP80RCF,"Too Close",Next,"Pop",6565
21,013AWvizllIUEC2FOBzOnh,"Truly Madly Deeply","Savage Garden","Pop",6506
22,6jWLyg8AuMQ9LtIB2UlfOF,"Hanging By A Moment",Lifehouse,"Rock",6448
23,4h8VwCb1MTGoLKueQ1WgbD,"Wake Me Up",Avicii,"Electronic",6395
24,1mea3bSkSGXuIRvnydlB5b,"Viva La Vida",Coldplay,"Rock",6385
25,5Nm9ERjJZ5oyfXZTECKmRt,"Stay With Me","Sam Smith","Pop",6380
